,Model,label,raw,block
20,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized initial,Stylized initial,54
21,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),tilted letter,Tilted letter,57
22,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),stylized monogram,Stylized monogram,58
23,OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),lo monogram,LO monogram,45
24,OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),broken letter,Broken letter,56
25,OpenAI: o3 w/ GPT-image-1 - Multiple Context - Med Reasoning (2025-07-14),scd logo,SCD Logo,19
26,OpenAI: o4-mini - Single Context - High Reasoning (2025-07-21),"i see a vertical stem on the left with a smooth semicircular curve attached to its right, forming the bowl of the letter d.","I see a vertical stem on the left with a smooth semicircular curve attached to its right, forming the bowl of the letter D.",20
27,DeepSeek: R1 0528 - Multiple Context (2025-11-20),scale hourglass,Scale Hourglass,3
28,DeepSeek: R1 0528 - Multiple Context (2025-11-20),fused circle,Fused circle,5
29,DeepSeek: R1 0528 - Multiple Context (2025-11-20),spectacles frame,Spectacles frame,6
30,DeepSeek: R1 0528 - Multiple Context (2025-11-20),bow tie,Bow tie,7
31,DeepSeek: R1 0528 - Multiple Context (2025-11-20),binder clip,Binder clip,8
32,DeepSeek: R1 0528 - Multiple Context (2025-11-20),stone archway,Stone archway,9
33,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hot air balloon,hot air balloon,12
34,DeepSeek: R1 0528 - Multiple Context (2025-11-20),anchor,Anchor,14
35,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hourglass,Hourglass,15
36,DeepSeek: R1 0528 - Multiple Context (2025-11-20),arrowhead,Arrowhead,60
37,DeepSeek: R1 0528 - Multiple Context (2025-11-20),snake tongue,Snake tongue,17
38,DeepSeek: R1 0528 - Multiple Context (2025-11-20),bow tie,Bow tie,18
39,DeepSeek: R1 0528 - Multiple Context (2025-11-20),violin scroll,Violin scroll,19
40,DeepSeek: R1 0528 - Multiple Context (2025-11-20),stop sign,Stop sign,20
41,DeepSeek: R1 0528 - Multiple Context (2025-11-20),key,Key,21
42,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hourglass,hourglass,22
43,DeepSeek: R1 0528 - Multiple Context (2025-11-20),snake vase,Snake vase,23
44,DeepSeek: R1 0528 - Multiple Context (2025-11-20),diamond,Diamond,26
45,DeepSeek: R1 0528 - Multiple Context (2025-11-20),mail slot,Mail slot,27
46,DeepSeek: R1 0528 - Multiple Context (2025-11-20),spectacle temples,Spectacle temples,28
47,DeepSeek: R1 0528 - Multiple Context (2025-11-20),key,key,29
48,DeepSeek: R1 0528 - Multiple Context (2025-11-20),door jamb,Door jamb,30
49,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hourglass,hourglass,31
50,DeepSeek: R1 0528 - Multiple Context (2025-11-20),skeleton key,Skeleton key,32
51,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hourglass infinity,Hourglass infinity,34
52,DeepSeek: R1 0528 - Multiple Context (2025-11-20),anvil,anvil,35
53,DeepSeek: R1 0528 - Multiple Context (2025-11-20),street lamp,Street lamp,37
54,DeepSeek: R1 0528 - Multiple Context (2025-11-20),hot-air balloon,Hot-air balloon,39
55,DeepSeek: R1 0528 - Multiple Context (2025-11-20),door window,Door window,40
56,DeepSeek: R1 0528 - Multiple Context (2025-11-20),door handle,Door handle,41
57,DeepSeek: R1 0528 - Multiple Context (2025-11-20),plus sign,Plus sign,42
58,DeepSeek: R1 0528 - Multiple Context (2025-11-20),curled ribbon,Curled ribbon,43
59,DeepSeek: R1 0528 - Multiple Context (2025-11-20),keyhole,Keyhole,44
60,DeepSeek: R1 0528 - Multiple Context (2025-11-20),lollipop,Lollipop,45
61,DeepSeek: R1 0528 - Multiple Context (2025-11-20),dual torus,Dual Torus,46
62,DeepSeek: R1 0528 - Multiple Context (2025-11-20),t,T,48
63,DeepSeek: R1 0528 - Multiple Context (2025-11-20),rocket ship,Rocket ship,49
64,DeepSeek: R1 0528 - Multiple Context (2025-11-20),balloon man,Balloon man,50
65,DeepSeek: R1 0528 - Multiple Context (2025-11-20),drawer pull,Drawer pull,56
66,DeepSeek: R1 0528 - Multiple Context (2025-11-20),key,key,58
67,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),rabbit,Rabbit,9
68,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),martini glass,Martini glass,12
69,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),fish,fish,19
70,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),sailboat,Sailboat,29
71,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),beer mug,Beer mug,30
72,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),bumper car,Bumper car,33
73,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),lexus logo,Lexus logo,45
74,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),ionic capital,Ionic capital,46
75,DeepMind: Gemini 3 Pro - High Reasoning - 0.1 Temperature - Multiple Context (2025-11-19),cartoon bomb,Cartoon bomb,47
76,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),light bulb,Light bulb,19
77,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),chess pawn,Chess pawn,21
78,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),water tap,Water tap,24
79,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),paint roller,Paint roller,25
80,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),bed,bed,28
81,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),tie fighter,TIE fighter,29
82,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),beer mug,Beer mug,30
83,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),bumper car,Bumper car,33
84,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),bicycle,bicycle,34
85,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),angel,angel,39
86,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),windowpane,Windowpane,42
87,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),clock face,Clock face,45
88,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),mailbox,Mailbox,46
89,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),sledgehammer,Sledgehammer,48
90,DeepMind: Gemini 3 Pro - High Reasoning - 0.55 Temperature - Multiple Context (2025-11-19),sixteenth note,Sixteenth note,54
91,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),round glasses,Round glasses,6
92,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),scarab beetle,Scarab beetle,8
93,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),rabbit,rabbit,9
94,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),electric plug,Electric plug,19
95,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),chess pawn,Chess pawn,20
96,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),chess pawn,Chess pawn,21
97,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),belt buckle,Belt buckle,30
98,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),bumper car,Bumper car,33
99,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),open scissors,Open scissors,34
100,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),angel,angel,39
101,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),apple,apple,43
102,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),cartoon bomb,Cartoon bomb,44
103,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),analog clock,Analog clock,45
104,DeepMind: Gemini 3 Pro - High Reasoning - 1.0 Temperature - Multiple Context (2025-11-19),ionic column,Ionic column,46
105,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),iron bars,Iron bars,1
106,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),eyeglasses bridge,eyeglasses bridge,3
107,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),hourglass,Hourglass,4
108,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),greek beta,Greek beta,5
109,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),horse blinders,Horse blinders,6
110,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),arrowhead,Arrowhead,7
111,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),chain link,chain link,8
112,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),hourglass seal,Hourglass seal,9
113,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),keyhole slot,Keyhole slot,11
114,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),serif y,serif y,12
115,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),watering can,Watering can,13
116,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),fish hook,Fish hook,14
117,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),square pyramid,Square pyramid,60
118,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),stone arch,Stone arch,16
119,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),bluetooth logo,Bluetooth logo,18
120,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),spacer bar,Spacer bar,19
121,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),goblet stand,goblet stand,20
122,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),skeleton key,SKELETON KEY,21
123,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),world pillar,World Pillar,23
124,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),chinese character,Chinese character,24
125,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),javelin,Javelin,26
126,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),open frame,Open frame,27
127,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),male symbol,Male symbol,28
128,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),turnstile gate,turnstile gate,29
129,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),capital b,Capital B,30
130,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),lollipop stick,lollipop stick,31
131,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),teeter totter,Teeter Totter,32
132,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),spoon cup,spoon cup,33
133,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),quantum anchor,Quantum Anchor,34
134,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),twin crown,Twin Crown,35
135,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),harpoon,Harpoon,36
136,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),scissors closed,Scissors closed,37
137,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),stacking toy,Stacking toy,38
138,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),grounded infinity,Grounded infinity,39
139,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),capital b,Capital B,40
140,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),stapler head,Stapler head,41
141,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),h-beam,H-beam,42
142,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),swing hook,Swing hook,43
143,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),golden doubloon,golden doubloon,44
144,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),floating lid,floating lid,45
145,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),shattered pact,Shattered pact,46
146,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),capital b,Capital B,47
147,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),crosshairs,Crosshairs,48
148,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),steep curve,Steep curve,49
149,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),drain cover,Drain cover,50
150,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),circle cradle,Circle cradle,51
151,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),parking meter,Parking meter,52
152,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),cradle snapped,Cradle snapped,53
153,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),radiation symbol,Radiation symbol,55
154,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),roof gable,Roof gable,56
155,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),ski jump,ski jump,57
156,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),grapnel anchor,Grapnel anchor,58
157,Alibaba: Qwen 3 235b a22b Thinking 2507 - Multiple Context (2025-11-20),ground rod,Ground rod,59
158,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),ladder section,Ladder section,1
159,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),parentheses,Parentheses,4
160,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),sunglasses,Sunglasses,6
161,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),h,H,7
162,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),crown hourglass,Crown hourglass,8
163,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),crown symbol,Crown symbol,9
164,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),eject button,eject button,10
165,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),trident fork,Trident fork,11
166,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),fishing hook,fishing hook,12
167,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),scoop handle,scoop handle,14
168,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),pencil tip,Pencil tip,15
169,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),tiny house,Tiny house,60
170,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),fishing hook,fishing hook,17
171,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),arrowhead,Arrowhead,18
172,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),safety pin,safety pin,19
173,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),golf club,golf club,21
174,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),letter a,letter a,22
175,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),fishing hook,Fishing hook,24
176,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),l bracket,L bracket,25
177,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),plumb line,plumb line,26
178,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),stapler frame,Stapler frame,27
179,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),b,B,29
180,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),capital r,Capital R,30
181,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),d with t,D with T,32
182,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),golf tee,golf tee,33
183,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),phi symbol,phi symbol,34
184,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),pendulum bob,pendulum bob,37
185,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),crown jewel,Crown jewel,38
186,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),infinity frame,infinity frame,39
187,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),hook gate,Hook gate,40
188,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),keyhole,Keyhole,41
189,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),plus sign,Plus sign,42
190,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),target satellite,Target satellite,43
191,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),ps ligature,ps ligature,44
192,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),life buoy,Life buoy,45
193,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),arrowhead,Arrowhead,46
194,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),key lock,key lock,47
195,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),flying buttress,flying buttress,49
196,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),sprouting seed,Sprouting seed,50
197,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),compass dial,Compass dial,51
198,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),cave entrance,Cave entrance,53
199,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),circular pointer,Circular Pointer,56
200,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),capped diamond,capped diamond,57
201,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),hanger,hanger,58
202,Alibaba: Qwen 3 VL 235b a22b Thinking - Multiple Context (2025-11-20),tent pole,Tent pole,59
